mol_id	smiles	r2
gdb_13724	CCOC[C@H]1O[C@H]1C	1544.5653
gdb_90086	C[C@H]1[C@H]2C[C@@]13C[C@@H](O)C23	1092.674
gdb_44390	O=C1C[C@H]2[C@H]3C[N@H+](C3)[C@@H]12	957.6984
gdb_96731	C/N=C(/NC=O)[C@H]1CO1	1228.4827
gdb_63553	CC1(C)C[C@@]12CCC2=O	1184.6842
gdb_121820	CCCCC(C)(C)C=O	1886.4185
gdb_49719	[H]/N=C/N1C([NH-])[C@@H]2OC[C@@H]21	1071.2811
gdb_103870	C[C@@]1(CO)C[C@H]1CC#N	1601.3592
gdb_578	[NH-][CH+]OC1CC1	666.8787
gdb_25295	O=CC(=O)c1ccco1	1208.7255
gdb_87367	C[C@H]1C[C@]12C(=O)C[C@@H]2O	1155.4187
gdb_29662	Cn1c(N)c(O)oc1=O	1106.3991
gdb_118755	CCC[C@]1(O)C[C@H](O)C1	1469.9625
gdb_25411	[NH-]c1cnc(C=O)c[nH+]1	1223.9133
gdb_43044	O=C1[C@H]2C=C[C@@H]3[C@H]2O[C@H]13	820.9186
gdb_120441	C[C@]1(O)C[C@H](CCO)C1	1692.5357
gdb_68856	C[C@@]12C[C@]1(O)C[N@H+]1C[C@H]12	1013.7982
gdb_83624	C[C@@H]1C(=O)C=C2CO[C@@H]21	1050.1052
gdb_48801	C#C[C@@H]1C[C@@H]2C[C@@]21C=O	1122.9055
gdb_52158	O=CCC[C@H]1[C@H]2CC[N@H+]21	1553.1379
gdb_32998	CCNc1ncccn1	1424.9106
gdb_93268	C[C@]1(O)C(=O)OC[C@@H]1O	1032.7626
gdb_36451	N#CC[C@H]1CC[C@@]12CN2	1356.6133
gdb_61102	C#CC[C@](N)(C#C)C#N	1189.3594
gdb_51290	O=CNC1=CC[N@H+]2C[C@@H]12	1157.0264
gdb_35133	N#C[C@H]1C[C@H](C2CC2)N1	1477.5112
gdb_18813	[NH-][C@H]1O[C@H]2[C@H]3O[C@@H]1[C@H]32	681.0401
gdb_48678	O=C[C@]12CCC(=O)[C@H]1N2	1119.3214
gdb_115132	CO[C@H]1CNC([NH-])C1=O	1209.7814
gdb_85470	C#C[C@@H]1NC(=O)N[C@@H]1C	1135.4179
gdb_18714	O[C@H]1CC=C[C@H]2O[C@@H]12	826.5226
gdb_55504	[H]/N=C(\N)C(=O)OC(C)[NH-]	1170.6622
gdb_119301	C#CC1(COC)COC1	1311.7783
gdb_14624	[NH-][CH+]OCCO[CH+][NH-]	1078.574
gdb_28426	Cc1ccc(C)c(O)c1	1281.4679
gdb_105610	[NH-]C1OC[C@]1(C=O)CO	1098.7688
gdb_119369	O=C1[C@H]2C[C@]1(CCO)N2	1294.0411
gdb_28877	Cc1ccnc(O)c1N	1113.2393
gdb_96278	C[C@H]1CCCOC(=O)N1	1218.8367
gdb_115425	CO[C@H]1CC[C@H](C#N)C1	1422.2982
gdb_132895	O=c1occ(F)cc1F	1063.6106
gdb_10928	C#C[C@@H]1C[C@]2(C)N[C@H]12	994.0996
gdb_132906	Cc1coc(=O)cc1F	1131.8964
gdb_112422	CC[C@H]1CC(=O)C[C@H]1C	1403.5193
gdb_62989	CC1(C)[C@@H](C=O)[C@H]2C[N@H+]21	1084.7201
gdb_23266	C[C@@H]1C(NO)C[C@@H]2N[C@@H]21	1157.0887
gdb_14985	CC[C@H]1CCOC=N1	1081.7036
gdb_93764	C[C@H]1NCC(N)=CC1=O	1241.8718
gdb_67391	C[C@]12[C@@H]3C[N@H+]1[C@H]2[C@H]([NH-])O3	971.8805
gdb_24575	c1ccncocnc1	977.7725
gdb_31019	CCc1cc(N)[nH]c1C	1407.0898
gdb_89994	O[C@H]1C[C@]2(CCO2)[C@H]1O	1151.8769
gdb_116867	C[C@@H](C#N)C#CCCO	2043.0474
gdb_62314	C#C[C@]1(C)[C@H]2[C@H]3C[C@H]3[N@H+]21	1108.2567
gdb_25090	[NH-]c1ccc(=O)[nH][cH+]n1	1110.3213
gdb_5869	CC(C)(C)OCC#N	1103.1067
gdb_20389	c1noc2c1CCN2	793.9513
gdb_78222	C[C@H]1[C@@H]2[C@H]1C(C)(C)[C@H]2C	1249.0928
gdb_102462	CCC(CC)C(=O)CO	1564.8693
gdb_12273	CO[C@H]1CN(C)C1=O	1048.7931
gdb_90342	C[C@@H]1C=C2CCC=C2C1	1278.0162
gdb_12138	C[C@]12C[C@]3(CN3)[C@H]1N2	944.9741
gdb_126082	C[C@H]1Oc2c[nH]nc2O1	1061.1535
gdb_93748	C#CC1=C(C)CO[C@@H]1C	1233.8112
gdb_25175	C#Cc1ncc[nH]c1=O	1056.0687
gdb_132396	Oc1cc(O)nc(F)c1	1113.1993
gdb_102915	CC[C@H](C=O)NCC#N	1649.824
gdb_101825	CO[C@@H](C)CC[C@@H](C)O	1992.742
gdb_80067	C[N@H+]1[C@H]2[C@@H]3O[C@H]2C=C[C@@H]31	922.3208
gdb_24457	c1nc2c([nH]1)OCOC2	978.3345
gdb_131714	[NH-]c1[nH+]ncnc1CO	1115.9705
gdb_92516	C[C@H]1N[C@H]2CN[C@H]2C1=O	1042.0935
gdb_118851	CC[N@H+]1C[C@]1(C)COC	1755.8376
gdb_117087	COCC(=O)C(C)(C)O	1522.9609
gdb_31397	CCc1cc[nH]c(=O)c1	1310.8951
gdb_100944	CC[C@@H](O)C(CO)CO	1545.097
gdb_105638	CC[C@@]1(C#N)OC[C@H]1O	1153.966
gdb_31287	C#Cc1[nH]ccc1CC	1251.3992
gdb_99792	CC#C[C@](O)(C#N)CN	1451.335
gdb_56194	CC(=O)NCC1CCC1	1767.6584
gdb_115775	CO[C@H]1CC[C@H]1O[CH+][NH-]	1327.784
gdb_7379	COC[C@@H](C)C(N)=O	1272.1193
gdb_19058	O[C@H]1C[C@H]2O[C@H]3[C@@H]1[C@H]32	707.6484
gdb_36180	N#CC[C@]12O[C@@H]3[C@H]1O[C@@H]32	1057.0449
gdb_96230	O=C1C=CCOC[C@@H]1O	1079.9175
gdb_117274	CC#CCC(=O)NCC	1774.518
gdb_30880	COc1[nH]c(O)nc1N	1220.4471
gdb_82764	C[C@@H]1[C@H]2CO[C@H]3[C@@H]1C[C@@H]23	982.6756
gdb_52438	N#CCCCOCC=O	2450.4399
gdb_64735	C#CC[C@]1(C)CNC1=O	1168.3744
gdb_33071	CCCc1c[nH]c(C)c1	1758.9898
gdb_132946	Cc1cocc(F)c1=O	1072.8747
gdb_12972	C[C@H]1O[C@H]2[C@@H](O)[C@@]12O	829.7037
gdb_114031	O=COC[C@@H]1O[C@@H]1CO	1632.3761
gdb_101250	CC[C@@H](C)[C@H]1C[C@]1(C)O	1614.378
gdb_53432	CC#C[C@H]1CCC[C@H]1C	1451.0961
gdb_85748	C#C[C@@H]1O[C@H](C)[C@@H]2C[C@@H]21	1175.8426
gdb_117451	CCCC(=O)COC=O	1932.9769
gdb_121677	CCCOC(=O)CC#N	1973.1836
gdb_11375	C[C@H]1C[NH2+]C(CO)O1	1072.6959
gdb_130331	Nc1nonc1N1CC1	1089.7391
gdb_38472	C1[C@H]2C[C@]34C[C@H](C3)[C@H]4[C@@H]12	986.5616
gdb_43520	N#Cc1[nH]c(N)[nH+]c1[NH-]	1191.8953
gdb_15991	CO[C@H]1CC[C@@]12CN2	1015.8034
gdb_18462	CO[C@H]1[C@H]2OC([NH-])[C@H]21	865.1374
gdb_52814	CC#C[C@@]1(C)O[C@H]2C[C@H]21	1348.0169
gdb_33572	C#C[C@@]1(C#N)CCOC1	1089.6252
gdb_122120	CCOC[C@H](C=O)CO	1863.5708
gdb_108006	CC[C@@]12O[C@H]3[C@H]4[C@@H]1[N@H+]4[C@H]32	995.5894
gdb_23212	ON[C@@H]1C[C@@H](O)[C@@]12CN2	1213.665
gdb_71300	C[C@@]12COC[C@H]3[C@@H]1[N@H+]3C2	981.1624
gdb_11291	C#C[C@H]1OC[C@H](C)O1	956.4088
gdb_130013	Nc1nc2conc2o1	994.0906
gdb_13035	N#CCN1CCC1=O	998.7874
gdb_31052	CNc1nc(O)[nH]c1N	1260.2204
gdb_71311	C[C@@]12C[C@H]3[C@@H]1[C@@H](C#N)[N@H+]32	1026.4611
gdb_30885	COc1oc(N)cc1O	1222.823
gdb_22989	NC(=O)[C@H]1CC[C@H]1NO	1253.4505
gdb_21492	[H]/N=C(/N)c1nnon1	852.5959
gdb_11201	Nc1ccc(C=O)o1	954.3623
gdb_89165	C[C@]12C[C@@H](O)[C@H]1N2C=O	1174.9062
gdb_48787	O=C[C@]12O[C@H]1C[N@H+]1C[C@H]12	1019.0952
gdb_94639	C#CCC[C@@H]1CC[C@@H]1O	1645.6851
gdb_56274	NC(=O)OCCC1CC1	1964.6409
gdb_78206	C[C@]1(O)C(=O)[C@@H]2[C@H](O)[C@@H]21	1013.261
gdb_52888	C#C[C@]1(C#CC)C[C@H]1O	1387.5655
gdb_53723	C#CC(=O)C#CC(N)=O	1658.8818
gdb_31144	CNc1c(N)coc1C	1219.0696
gdb_74662	CC1[NH2+][C@H]2[C@H]3C[C@H]3[C@H]2O1	1003.5466
gdb_96823	C[NH2+]C1O[C@@H](C#N)[C@H]1C	1284.5301
gdb_1849	CC1=NCC(=O)N1	719.4311
gdb_126866	CCNc1cn[nH+]cn1	1390.2902
gdb_97372	C[NH2+][CH+]O[C@@H](C)[C@H]1CN1	1645.3534
gdb_9533	CO[C@@]1(C)COC1[NH-]	893.2545
gdb_87882	O[C@H]1C[C@@]12C[C@H]1CO[C@H]12	1100.5771
gdb_123909	c1n[nH]c2c1NCCN2	1037.1106
gdb_3258	C1=CC=CCC=C1	652.0585
gdb_56834	C[C@@H](C#N)[NH+]1[C@H]2C[C@@H]1C2	1197.6066
gdb_65362	C[C@@]1(C#N)O[C@H]1[C@H]1CO1	1236.3065
gdb_24063	C#CCOc1ncc[nH]1	1459.888
gdb_6612	C[C@]1(O)C[C@@]2(CN2)C1	1001.0534
gdb_130737	C#CCn1nn[nH]c1=O	1115.3849
gdb_404	N#CC1(N)CC1	537.6808
gdb_78977	O[C@@H]1[C@H]2O[C@@H]3[C@@H]4[C@H]2[C@@H]4[C@H]13	824.9458
gdb_60920	O=C[C@H](O)C1=NCCO1	1253.057
gdb_439	O=C1CC=CN1	473.5305
gdb_33466	N#C[C@@]1(C2CCC2)CN1	1223.3203
gdb_56860	C#C[C@H](C)[C@H]1CC([NH-])O1	1210.1633
gdb_43280	O=C1C=C[C@]23CC[C@]12C3	941.2934
gdb_46568	O=C1CN[C@]23C[N@H+](C2)[C@@H]13	955.1296
gdb_115397	OC[C@H]1OC[C@@H](O)CO1	1147.3929
gdb_87189	C[C@H]1C[C@]1(O)CC(N)=O	1418.0754
gdb_30579	OCC#Cc1cnco1	1733.9903
gdb_108872	CCC1=C[C@@H](O)CCC1	1477.7566
gdb_122656	CCOC[C@@H]1C=CCO1	1397.859
gdb_73625	C[C@]12CC=C[C@H]1OCO2	972.5521
gdb_54266	C[C@@]1(C(=O)O)CCNC1	1090.984
gdb_23823	[NH-]c1nc(F)cn[nH+]1	806.5183
gdb_22679	C#C/C(C[C@H]1CO1)=N\O	1382.4488
gdb_109362	CCC1=CNCCC1=O	1261.6084
gdb_101199	CO[C@@H](C)[C@H]1[C@H]2CO[C@H]21	1293.7129
gdb_91460	C[C@H]1O[C@@H]2C=C[C@@]1(C)C2	1015.4523
gdb_21652	Nc1n[nH]c(C=O)n1	950.0137
gdb_21637	Nc1nnn(C=O)n1	911.0504
gdb_94698	C[C@H]1OC[C@]2(C)C[C@H]1C2	1150.7224
gdb_96924	C[NH2+][C@@H]1N[C@H]2[C@@H](N)[C@@]12O	1179.9985
gdb_96910	C[NH2+]C1OC2(CC2)[C@H]1N	1285.5709
gdb_118286	C[C@@H](CCO)OCC=O	1891.9414
gdb_122126	O=C[C@H](CO)OCCO	1567.2401
gdb_33020	COCc1ncccn1	1374.1674
gdb_118884	COC[C@@]1(C)C[C@H]2C[N@H+]21	1335.2751
gdb_18458	CC[C@H]1[C@H]2OC(=O)[C@@H]12	968.8253
gdb_126052	C[C@H]1N[C@H]1c1ccon1	1204.9126
gdb_8579	C[C@H]1C[N@H+]2C[C@H](C2)O1	855.1841
gdb_119911	CCO[C@H]1[C@@H](O)[C@]1(C)O	1396.2003
gdb_29808	Cn1cc(O)cc1C#N	1214.8354
gdb_59769	C[C@@H](O)[C@H]1OCC[C@H]1O	1251.8539
gdb_66438	C[C@]12[C@@H]3[C@@H]4[N@H+]1[C@]4(C)[C@@]32O	1011.8435
gdb_90977	C[C@]12[C@H](O)C[C@@H]3[C@H]1C[C@@H]32	1023.3953
gdb_129764	Nc1onc2c1C=CC2	1039.4278
gdb_40442	C1N[C@H]1[C@]12COC[C@H]1N2	1145.9764
gdb_39579	C1=C[C@@H]2CN=CO[C@H]2C1	1049.5973
gdb_10228	CCC[C@@H](CO)OC	1363.3704
gdb_32576	CCn1c(N)ccc1O	1175.9524
gdb_55901	CC(=O)N[C@H]1C[C@H]1C=O	1362.6149
gdb_127011	CCOc1c[nH]nc1C	1427.0405
gdb_88833	C[C@H]1O[C@H]1[C@H]1CC[C@H]1O	1379.4264
gdb_7568	CC1(C(=O)O)CNC1	868.215
gdb_115063	CC[C@H]1CC=C[C@H]2N[C@@H]12	1283.9355
gdb_32340	CCc1ccc(=O)oc1	1340.4964
gdb_7516	C[C@H]1C[C@]1(O)CC#N	1089.7298
gdb_121001	CC1=CC[C@@H](CCO)C1	1818.5806
gdb_112953	NC(=O)[C@H]1C[C@@H](CO)O1	1305.5843
gdb_59339	CC(C)[C@H]1C[C@@H](O)C1=O	1409.2905
gdb_76704	C#CCO[C@H]1[C@@H](C)[C@H]1O	1248.9974
gdb_103155	CC[C@]1(O)C(=O)O[C@@H]1C	1159.3306
gdb_14795	CCCOCCOC	2128.0888
gdb_131079	O=COCc1cn[nH]c1	1364.4784
gdb_89576	O[C@H]1C[C@@]2(C=CCC2)C1	1317.833
gdb_97889	COC([NH-])CC#CCO	2083.0023
gdb_44336	O=C1O[C@H]2[C@H]3C=C[C@@H]1[C@H]32	845.8347
gdb_48443	O=C[C@@]1([C@H]2CO2)CCO1	1093.6298
gdb_24502	c1cc2nc[nH]c2cn1	942.9157
gdb_6268	CC(C)CC(=O)C=O	1235.6546
gdb_64807	C[C@@]1(C2CC2)CC([NH-])O1	1174.811
gdb_40358	C1C[NH+]1[C@]12CC[C@H](C1)C2	1140.1281
gdb_63854	C#C[C@@]12O[C@@H]1CC2(C)C	1094.1301
gdb_72013	C[C@@]12O[C@H]3C[C@@H]1C(=O)[C@H]32	933.1037
gdb_5210	CC#Cc1ncco1	1190.0765
gdb_66694	C[C@]12[C@H]3[C@@H]4[C@H](C(=O)[C@H]31)[N@@H+]42	923.2141
gdb_97356	C#CC(C#C)O[CH+][NH2+]C	1589.8686
gdb_132731	Cc1cccc(F)c1N	1130.7937
gdb_1798	CC(=O)C1(C)CC1	768.2572
gdb_131609	OC[C@@H](O)c1c[nH]nn1	1295.1893
gdb_29443	O=COc1nc(O)co1	1313.6121
gdb_65520	O[C@@]1([C@H]2CO2)C[C@H]2C[C@H]21	1104.1271
gdb_103658	OC[C@]1(O)C=C[C@H](O)C1	1275.9932
gdb_3546	O=C1[C@H]2[C@H]3CN1[C@H]32	533.2622
gdb_28305	Cc1cc2n(c1)CC=C2	1188.6818
gdb_7074	C[C@H](CC#N)CC=O	1358.0483
gdb_23609	ONC1CO[C@H]1C1CC1	1377.1934
gdb_76173	C[C@H]1C(C)(C)[C@]1(O)C#N	1182.4897
gdb_132014	C[CH+]1C([NH-])=N[CH+]OC1F	1041.0241
gdb_37865	C1=C[C@@]23C[C@H]4[C@@H]2[C@@H]1C[N@H+]43	822.4141
gdb_92494	C[C@H]1C[C@@]2(C)CC[C@H]2O1	1130.002
gdb_64813	C[C@@]1(C2CC2)CC(=O)N1	1207.0163
gdb_106744	CC[C@@]12C[C@]1(C)NC2=O	1200.0485
gdb_57951	CC([NH-])OC(=O)N(C)C	1389.9481
gdb_101121	CC[C@@H](O)[C@@]12CC[C@@H]1C2	1416.9478
gdb_61230	C#CC[C@H](C)[C@H]1C[C@H]1C	1561.7942
gdb_112080	O=C[C@@H]1O[CH+][NH2+][C@@H]1CO	1128.6018
gdb_2855	CC[C@@H]1C[C@@H]1CC	1119.7971
gdb_121044	CCC[N@H+]1CCC(=O)C1	1569.3613
gdb_45443	O=C1O[C@H]2CC[C@@H]1OC2	905.7259
gdb_10962	CO[C@H]1C[C@@]2(C)O[C@@H]12	1069.0225
gdb_21612	[NH-]c1nc(N)nn[nH+]1	811.7272
gdb_130480	NNc1nc[nH]c1C=O	989.2289
gdb_31477	N#Cc1coc(CO)c1	1367.2242
gdb_101314	O=CN1C[C@@H]1[C@H](O)CO	1295.0173
gdb_66990	O=C1[C@H]2C[C@@H]3[C@H](O2)[C@]13O	865.4275
gdb_114242	CO[C@H]1C[C@@]2(C1)O[C@H]2C	1410.9679
gdb_103722	CO[C@@]1(C)C[C@]1(O)C#N	1211.5049
gdb_25627	CC#Cc1[nH]cnc1O	1434.3642
gdb_60402	C[C@@H](O)CC[C@H]1C[N@H+]1C	1793.1824
gdb_61625	C#C[C@H](O)C[C@@H]1O[C@@H]1C	1554.7783
gdb_60977	C[C@@H](C=O)[N@H+]1CC1(C)C	1361.9925
gdb_51070	O=CN[C@@]12[C@H]3C[C@@H]1[C@@H]2C3	1070.8094
gdb_113460	CC[C@H]1O[C@@]12C[C@H]1C[C@H]12	1392.7765
gdb_84131	CC1=C[C@H](C)C2(CC2)C1	1291.1818
gdb_76634	O[C@@H]1[C@H](O)[C@@H]1C1(O)CC1	1108.7153
gdb_79726	CN1C(=O)[C@@H]2[C@@H]3O[C@@H]3[C@@H]21	937.0645
gdb_120563	OCC[C@H]1C[C@@H](CO)O1	1655.4797
gdb_31708	CCc1coc(CO)n1	1489.219
gdb_53083	CC#CC1=CCNC1=O	1470.9803
gdb_127926	CNc1ncc(N)n[nH+]1	1286.181
gdb_78318	C[C@H]1[C@H]2[C@@H]1[C@@]1(C)OC[C@@H]21	1146.4977
gdb_23515	ON[C@@H]1[C@@H]2[C@@H]3[C@H]1[C@@H]1[C@H]2[N@H+]31	989.3396
gdb_128725	COc1nocc1C#N	1144.1937
gdb_13221	OC[C@@H](O)C1COC1	1073.2837
gdb_58835	C[C@@H](O)[C@]12O[C@H]1[C@H]1N[C@H]12	1113.252
gdb_17221	C#C[C@@]12C[N@H+]3C[C@@H]1[C@H]32	836.0245
gdb_55169	CC(=O)[C@H]1C[C@H]2CO[C@H]21	1081.6112
gdb_8918	C#C[C@H](O)[C@H](O)CC	1188.5372
gdb_46187	[NH-]C1OC[C@@]12[C@H]1C[N@@H+]2C1	992.6143
gdb_130532	c1cc2c([nH]1)=NNON=2	877.8162
gdb_102486	COC([NH-])[C@H](CO)OC	1401.3985
gdb_35876	N#C[C@H]1OCOC12CC2	1033.9454
gdb_77860	C#C[C@H]1[C@H]2[C@@H](O)[C@@H](C)[C@@H]12	1048.1898
gdb_116898	COCC#C[C@@H](C)CO	2338.9962
gdb_77259	C[C@@H]1[C@H](C#N)[C@@H]1CC=O	1342.3249
gdb_54249	C[C@]1(C(N)=O)C=CCC1	1110.4379
gdb_16816	C[C@H]1NC(=O)[C@H]2C[C@H]21	883.6757
gdb_31843	COc1ccc(C)cc1	1412.0799
gdb_84823	C[C@H]1[NH2+][CH+]O[C@H]1O[CH+][NH-]	1229.5128
gdb_3135	OC[C@]12C[C@H]1CO2	717.5921
gdb_34119	N#C[C@]12C[C@@H]3[C@H]1O[C@@H]3C2	955.8721
gdb_36721	N#CCC[C@H]1CO[CH+][NH2+]1	1567.2529
gdb_58093	CC(=O)C(C)(C)[C@@H](C)O	1250.7339
gdb_64687	C#C[C@@H]1N[C@@]1(C)CC#N	1389.0761
gdb_1626	CC(C)[C@@H](O)C=O	879.1915
gdb_110572	OC[C@@H]1[C@@H]2[C@H]3C[C@]2(O)[C@@H]13	1217.9115
gdb_5746	C[C@H]1Cc2nccn21	868.9411
gdb_69208	C[C@]12C[C@H]1C(=O)CC2=O	1069.2994
gdb_98608	CNC(=O)N1[C@H]2C[C@@H]1C2	1243.4947
gdb_62623	C[C@@]1(O)[C@H]2[C@H]3C[C@]1(C)[N@H+]32	982.5031
gdb_42734	O=C1[C@H]2C[C@H](O2)[C@@]12CO2	916.6111
gdb_68573	C[C@@]12C[C@@H]([NH2+][CH+]N1)C2=O	936.9824
gdb_125294	C#CCn1nccc1C	1171.0024
gdb_32677	OC[C@H]1Cc2cncn21	1139.6838
gdb_31792	COc1ncc(N)n1C	1235.0645
gdb_81358	O[C@H]1[C@H]2C[C@@H]1[C@@H](O)[C@H]2O	1041.7625
gdb_93673	C[C@H]1COC(C)(C)[C@H]1C	1258.1137
gdb_40010	C1=C[C@@H]2C[C@H]1C[C@]21CO1	967.5912
gdb_17625	CC(C)[C@@H](O)[C@H]1CO1	1082.8988
gdb_122091	C#C[C@@H](COCC)OC	1796.3811
gdb_29295	Oc1c[nH]c(C2CC2)c1	1382.0921
gdb_56688	N#C[C@H](N)C1(O)COC1	1132.8539
gdb_79332	C[C@@]12C[C@H]3C[C@@H]1[C@@H]2[C@H]3O	1023.865
gdb_120869	C[C@]12C[C@H]1[C@@H](CCO)O2	1575.9303
gdb_127907	CNc1[nH+]c(=O)cno1	1179.5651
gdb_51040	N#CC1(OC=O)CNC1	1164.5218
gdb_129214	C#Cc1ncn[nH+]c1[NH-]	1051.0393
gdb_53767	[NH-][CH+]OCC#CC(N)=O	1846.1798
gdb_116724	CO[CH+][NH2+][C@H]1CO[C@H]1C	1715.5193
gdb_22218	C/C(=N\O)[C@@H](O)CC#N	1502.3797
gdb_129318	[NH-]C1=C[CH+](C=O)N=NO1	1130.3337
gdb_123956	c1onc2c1CCCO2	1026.1483
gdb_90825	O[C@H]1C[C@@H]2[C@@H]3[C@H]1[C@@H]1[C@H]2[N@H+]31	895.0256
gdb_52050	C#CC1(CCC=O)CC1	1552.9585
gdb_116190	CC[C@H]1CCOC1(C)C	1338.2708
gdb_6553	C[C@H]1O[C@H]1C(C)(C)O	1022.7942
gdb_48005	O=CC#C[C@H]1C[C@H]2C[C@H]21	1556.5562
gdb_61359	C[C@H](C=O)CC(=O)C#N	1467.9718
gdb_129682	Nc1cn[nH]c1NC=O	1164.6594
gdb_26791	Cc1cc(C#N)[nH]c1O	1285.9662
gdb_81141	C#C[C@@]12C[C@@H](CO1)[C@@H]2C	1074.0841
gdb_619	CC[C@H]1C[N@H+]1C	665.4811
gdb_22550	CC[C@@H](OC)/C(C)=N/O	1490.8498
gdb_101380	OC[C@@H](O)[C@H]1C[C@H]2O[C@@H]12	1239.0671
gdb_28118	Cc1nc2[nH]ccc2o1	1083.1674
gdb_2799	CC[C@H]1CC[C@H]1O	873.2179
gdb_128897	N#CCc1cnncn1	1185.954
gdb_131059	O=CNCc1ncno1	1439.8525
gdb_119212	COC[C@@]1(C#N)C[C@H]1C	1357.8321
gdb_2757	C[N@@H+]1CC[C@H]1C#N	780.6982
gdb_46065	O=C1CO[C@H]([C@H]2CN2)C1	1279.7951
gdb_79414	C[C@@H]1C(=O)[C@]23C[C@H](C2)[N@H+]13	1020.8127
gdb_70724	C[C@@]12C=CCCO[C@@H]1C2	1126.0294
gdb_90297	C[N@@H+]1CC2=C[C@@H](O)C[C@H]21	1297.0403
gdb_25388	[NH-]C1=CC=N[CH+](C=O)O1	1102.9936
gdb_65960	N#C[C@]1(O)CNC12CC2	1041.9966
gdb_64661	C[C@]1(CC#N)[C@@H]2CC[C@@H]21	1276.7481
gdb_55269	NC(=O)[C@H]1COC(N)[NH2+]1	1186.315
gdb_60255	C[C@@H]1CC[C@@H]1C[C@@H](C)O	1621.831
gdb_20124	C[C@H]([C@@H]1CO1)[NH+]1CC1	1068.7153
gdb_109941	CC[C@H]1[C@@H](C)CC12CC2	1352.5092
gdb_82383	O[C@H]1[C@H]2C[C@H]2C[C@H]2O[C@@H]12	974.6117
gdb_51411	[NH-][CH+]O[C@H]1[C@@H]2C=C[C@H]1N2	1178.8537
gdb_5501	Cc1c[nH]cc1C=O	954.1602
gdb_29120	Cc1cc(N)c[nH]c1=O	1203.896
gdb_23906	CCCCC(F)(F)F	1382.3428
gdb_38226	C1C[C@]23C[C@H](C2)[C@@H]2[C@H]1[C@@H]23	907.5277
gdb_50208	O=C[C@H]1C[C@H]2[C@H]3C[C@@H]1[N@H+]32	1008.0241
gdb_15619	CC1=C(CO)COC1	1037.7034
gdb_19370	OC[C@]12C[C@H]1[C@H]1C[N@H+]12	870.4867
gdb_57971	CN(C)C(=O)NC1CC1	1530.8304
gdb_111457	CC[C@@H]1C(C)=C[C@@H]2N[C@@H]21	1246.9102
gdb_89422	C[C@@]12C[C@H](O)C=C[C@@H]1C2	1107.5512
gdb_102850	CO[C@H](CC#N)CC=O	1547.2109
gdb_30197	C[C@H]1Cc2ccc(N)n21	1137.8469
gdb_24883	N#C[CH+]1C=NC=C([NH-])O1	1103.6268
gdb_85075	C[C@@H]1C=CN(C)C(=O)N1	1198.8717
gdb_32848	CCNc1cc(N)co1	1630.1908
gdb_120528	N#C[C@H]1C[C@H](CCO)N1	1755.2315
gdb_18370	O[C@H]1CC[C@H]2CO[C@H]21	832.1933
